track_id,keywords,weights
333422,shoulder;someone;accidents;lonely heaven;landscape broken branches;siren singing;shipwreck;pitch dark;rocks;disaster,1.0;0.9595315456390381;0.7141551971435547;0.9560603499412537;0.6674991250038147;0.4545445144176483;0.5013478994369507;0.5981454849243164;0.4671266973018646;0.4589622914791107
21709581,little patience;feeling;heart;time;little patience 'cause;pain;salvation;strong believe;arms tonight;frustration,0.9999999403953552;0.4459994435310364;0.4603387713432312;0.30826517939567566;0.9631348848342896;0.4104407727718353;0.23627133667469025;0.2546968162059784;0.3021429777145386;0.4248097538948059
909,guy;look;thoughts;pedigree;nothing;night;eyes;chances;style;man,1.0;0.6357352137565613;0.33332979679107666;0.30719614028930664;0.443283349275589;0.29401129484176636;0.36371883749961853;0.3260759115219116;0.3442680537700653;0.44156700372695923
4777619,time;back everyday;eternity;place;whats;long time;fight;next time;heads;thought,1.0;0.6557766795158386;0.7545663714408875;0.5751956701278687;0.5139533281326294;0.9965486526489258;0.33494114875793457;0.9529457092285156;0.2403012216091156;0.26784977316856384
16646798,fire burning wild demons;dark mind;world acceptance;vengeance set;heartbeat;day;pain;everyone;child demons;up-up-up knowledge,1.0;0.7324642539024353;0.5953319668769836;0.7126466035842896;0.6263176202774048;0.4986772835254669;0.5802477598190308;0.47660303115844727;0.7697745561599731;0.5453441143035889
5344331,hey;nothing;timber;age;shadows;wall;right;ah-ooh ah-ooh boom;lines;soul,1.0;0.513776421546936;0.12305356562137604;0.08097808063030243;0.09898079186677933;0.13690538704395294;0.21116328239440918;0.16624775528907776;0.06655295938253403;0.2314237654209137
70777763,ones hasta;freestyle;vista;body;boss baby;rings;time;hot;passenger;favorite pass,0.9999999403953552;0.9666838645935059;0.8398091793060303;0.761483371257782;0.7657390236854553;0.49904945492744446;0.47742435336112976;0.6545749306678772;0.500271737575531;0.4368232488632202
24829469,favorite life;blade;sweet memory;rustle;shade;love;bird;blue pulls;nights;train,1.0;0.8305674195289612;0.9108592867851257;0.7391802668571472;0.7721779942512512;0.7781177759170532;0.55176842212677;0.6864438652992249;0.5242636799812317;0.43452316522598267
58285793,long day 'cause;relapses camera flash;fuck;real quiet feel;pill;dead man;clues;face;morning;sleep,0.9999999403953552;0.9236247539520264;0.8891427516937256;0.9020185470581055;0.8642314672470093;0.8011932373046875;0.7940800786018372;0.6975978016853333;0.8012087941169739;0.8788372278213501
33463254,darkness;magic lake;love;stories;moonless nights;muse;nightmares;treasure;stillness;cabin key,1.0;0.9889123439788818;0.8880413174629211;0.7162277102470398;0.8504890203475952;0.726966917514801;0.7819275259971619;0.6890071034431458;0.9706444144248962;0.6232227087020874
47995197,open sea;bad guys;funeral pyre;blood memories;skin;sailor;limelight;forest fire heavy rain;mud;victim,1.0;0.5872675776481628;0.704059898853302;0.8235004544258118;0.7197427749633789;0.795978844165802;0.5093652009963989;0.8043727874755859;0.6234018206596375;0.5762956142425537
3677133,city hall;lights;front,0.9999999403953552;0.41452544927597046;0.3773706257343292
3576478,skyscraper;everything;ground;paper;run run;smoke;glass;long way;skies;teardrops,0.9999999403953552;0.5574434399604797;0.3961171507835388;0.3358707129955292;0.23780417442321777;0.3338400721549988;0.46860599517822266;0.24233664572238922;0.37424129247665405;0.347126305103302
681113,werewolves;london ah-hooo;queen doin;lon chaney;mayfair;draw blood ah-hooo werewolves;werewolf;trader vic;london ah-hooo well;streets,0.9999999403953552;0.7474154233932495;0.42785295844078064;0.42270469665527344;0.5018036365509033;0.8157504200935364;0.7750297784805298;0.34247681498527527;0.5823512673377991;0.3002534508705139
14490443,silver lining lone ranger;distant memory;crazy cause;satisfaction;open space;velvet morning years;string tracy island;mysterious ways;deep end;heartaches,1.0;0.8631851673126221;0.8958675861358643;0.702406644821167;0.7570233345031738;0.7209876179695129;0.6187087297439575;0.6373441815376282;0.6130565404891968;0.7187908291816711
19108175,game;arbitrary road armour;open season time;prayers;dark thought;moment;millionaires;underdogs;hunt;faces,1.0;0.5591608285903931;0.7665783762931824;0.3493686616420746;0.3140977621078491;0.45084401965141296;0.43070536851882935;0.4674864411354065;0.38487517833709717;0.272865355014801
36398503,bari;bar;heart;other pop-up doors;slice;yesterday;front;gates;magic;love,1.0;0.19645197689533234;0.22144563496112823;0.409816175699234;0.20839715003967285;0.29006078839302063;0.29749998450279236;0.2704763412475586;0.16692189872264862;0.3885282278060913
5185310,life dream;lonely life;dappled light;everything;day;knife;life 'cause;seas;life;winter,1.0;0.971164882183075;0.32940542697906494;0.373028963804245;0.32475242018699646;0.2968742251396179;0.7460971474647522;0.24383631348609924;0.8691096901893616;0.2517698109149933
28421153,malachite bracelet;swan islands;unprecedented dawn;kind;fictional city;children;ruby sunset;mercy rules;gray routine flowers;darkness,1.0;0.9248400926589966;0.8023908138275146;0.831327497959137;0.765509843826294;0.7529231309890747;0.9504992961883545;0.8877196907997131;0.8517996072769165;0.8980914950370789
485326,time;edge;fire burns;pressure breaks;everything;rope;way;second change;choice;end,1.0;0.9558036923408508;0.764466404914856;0.8669928908348083;0.5485314726829529;0.700343668460846;0.9188022017478943;0.4592743217945099;0.5028015971183777;0.8448604941368103
20217926,eden;prowl east;cages;true believer;control;denim sky;sunshine;carpet show;eden coming;record,1.0;0.5949075222015381;0.4445861279964447;0.30757763981819153;0.24460873007774353;0.3104723393917084;0.2536007761955261;0.1626974493265152;0.8956190347671509;0.1645173877477646
43359243,mistakes;longing;hug;eye;conscience;prologue;traffic light;nonsense;millions;night sky,1.0;0.6552139520645142;0.8867676854133606;0.7396706342697144;0.7991378307342529;0.5725080966949463;0.5745604634284973;0.6557369232177734;0.5042228698730469;0.637125551700592
48964310,bout;vivienne westwood;close boy;body;things;club;jet tonight;babe;glue;nobody,1.0;0.038177959620952606;0.17781144380569458;0.2060413956642151;0.1538531631231308;0.19816075265407562;0.13759250938892365;0.14075663685798645;0.14480367302894592;0.1642330139875412
75901,wah wah wah wah tiger;tiger;wah wah wah wah wah;wah wah wah wah;lips;first love;kiss;love,0.9999999403953552;0.4043808877468109;0.9441478848457336;0.9441478848457336;0.12274768203496933;0.11482472717761993;0.10179943591356277;0.10754460096359253
37701565,jungle;dark side;wolves;night drunk;love;moon;stranger;eyes;way;heavy truth water,1.0;0.9109640717506409;0.9808716177940369;0.952882707118988;0.725787878036499;0.8490138649940491;0.7175871729850769;0.6518518328666687;0.5865148901939392;0.6270478963851929
41249167,cigarette label neurosis;such post-post;ekaterinburg unrecorded girl;good friend;suitcase;fame;dean mom;modernism;train moscow;certificate,1.0;0.7380873560905457;0.7856817245483398;0.6620591282844543;0.7730603814125061;0.5247859358787537;0.6579129695892334;0.7315347790718079;0.6841006875038147;0.5345852375030518
66581344,day tonight;night;angels;head;suffering;cage;tonight;day drowning;shadow;voices,1.0;0.8234882354736328;0.28112873435020447;0.130929097533226;0.10747352242469788;0.1899922490119934;0.8496881127357483;0.43461665511131287;0.1714666187763214;0.1439446210861206
32558276,way;final curtain;regrets;careful step;fill;course;things;friend;highway;naught,1.0;0.4735746383666992;0.4323031008243561;0.5355899333953857;0.2500348389148712;0.400554895401001;0.38535138964653015;0.44183775782585144;0.30163800716400146;0.44348862767219543
17940744,yeah;home;train;money;god;house,1.0;0.441398024559021;0.35255497694015503;0.29574957489967346;0.5826061964035034;0.5386936664581299
471933,secret safe tonight;further harm resistance;thought police;lips;love;truth;hole;prayers;control;time,1.0;0.8604177236557007;0.5692123174667358;0.5254234671592712;0.7519824504852295;0.9199894070625305;0.5824164748191833;0.4509837031364441;0.4892585277557373;0.4207043945789337
2844197,american mouth big pill;flightless bird jealous;quick wet boy diving;fat house cat nursing;wide fence cracks;christ mountain stream;plastic toys;long baby hair;warm poison rats;sore blunt tongue,1.0;0.9270660281181335;0.8150380253791809;0.7726717591285706;0.7067630290985107;0.5856991410255432;0.605492889881134;0.7509832382202148;0.775327205657959;0.7363784909248352
37390713,signs;imaginary conversations;armor;memory unanswered questions;cars;adventure;song;fools;people;stories,1.0;0.6536518335342407;0.4297630488872528;0.6128146648406982;0.770302951335907;0.47236838936805725;0.44790777564048767;0.5608881115913391;0.6634311079978943;0.7227327823638916
1052380,truth;sound always;next line;toe;ticket;nerves;night;hands sand;world;dreams,1.0;0.771345317363739;0.8021308779716492;0.6418023705482483;0.5641074776649475;0.506234347820282;0.43864166736602783;0.6172748804092407;0.4575328230857849;0.5861758589744568
41249166,janitors snow waves;next good song;city;fed bread buggy scenes;houses someone paint;grandfather;bumps;reflection mirror;girl;freckles,1.0;0.8857359886169434;0.7058520913124084;0.8391491174697876;0.7219642996788025;0.550218403339386;0.526103675365448;0.6070191264152527;0.7171782851219177;0.5899869799613953
35719552,infinity 'cause;love;infinity;bottom;paradise;mad man;universe;baby;control;sacrifice 'cause,1.0;0.3842543959617615;0.9671658873558044;0.2814221680164337;0.3247235119342804;0.2656371593475342;0.4007546603679657;0.19389335811138153;0.1120787113904953;0.3984602093696594
39493512,time;remedy;enemy;words;judge;jealousy;end;moment;emptiness;damage,1.0;0.632882833480835;0.6201894283294678;0.518632173538208;0.520065188407898;0.39676541090011597;0.44888782501220703;0.6312751173973083;0.3747206926345825;0.2269585132598877
14324800,rivers flow;last stream;moment;quiet frozen universe;full self-immolation;fascist mine;vessels blood;birds;brilliant doctor;mountains,1.0;0.9181557893753052;0.5958051681518555;0.6414667367935181;0.5075961351394653;0.4678967297077179;0.5268425941467285;0.44282037019729614;0.47351470589637756;0.4690198600292206
68951,party;cry;judy;door;'til johnny;dancing;records;same time;king;ring,1.0;0.9812341332435608;0.6006671786308289;0.29020166397094727;0.6720855832099915;0.33567193150520325;0.22443120181560516;0.34218698740005493;0.3787219524383545;0.3537644147872925
39164351,seas everybody;sweet dreams;world;everybody;seas;something,1.0;0.8977292776107788;0.5210830569267273;0.7057239413261414;0.7150660157203674;0.6409971714019775
3889226,freak mr. saxobeat;yeah;girl;dirty boy;sexy boy;mr. saxobeat;brings,0.9999999403953552;0.9012913703918457;0.6288571357727051;0.590863823890686;0.7345728278160095;0.7766600847244263;0.2620922923088074
610409,dust;wind;everything;sky;crumbles;moment;water;minute buy dust;curiosity dust;drop,1.0;0.9543765187263489;0.36567601561546326;0.3624902069568634;0.3392622768878937;0.2799592912197113;0.30784666538238525;0.72981196641922;0.8110714554786682;0.13337303698062897
52140954,wings;suicide people;hands;poultry;love;light;anyone;memories;lot;tracks,0.9999999403953552;0.7247660756111145;0.9253105521202087;0.5037885308265686;0.5817906260490417;0.27803635597229004;0.2631146311759949;0.237993523478508;0.18117254972457886;0.35741475224494934
9793,day;memories;eye;pillow;morning;time;loneliness;one,1.0;0.6959043741226196;0.6600356698036194;0.6730831861495972;0.829047679901123;0.5906087160110474;0.7088841795921326;0.3140869736671448
39812122,love;fence;different kind;nothing;much baggage;old scars;thing;heart;places other men;brick,0.9999999403953552;0.2845298647880554;0.30746719241142273;0.3014695346355438;0.20955929160118103;0.2082633674144745;0.38712799549102783;0.26270273327827454;0.34111443161964417;0.2556654214859009
10381,many men wish death;nigga;'cause life;mercy;refund motherfucker;eye dawg;black ass;man;niggaz ride;waist,1.0;0.8470242619514465;0.7208629846572876;0.4979524314403534;0.5735929012298584;0.5820454955101013;0.6436270475387573;0.6731006503105164;0.6385775804519653;0.42744582891464233
41654667,hey;yeah;truth;growing pains;monsters;youth;bad;go-getter;breath;motions,1.0;0.7428368926048279;0.04121606424450874;0.3211711347103119;0.1590784341096878;0.08118730038404465;0.16588754951953888;0.21339711546897888;0.2017795592546463;0.18813680112361908
50257800,buoyan head;firewood rowly buoyo head;main buoyo head;mouth;buoyo head;buoyano head;head;buyino ruyno head;buoyanly head;terply buoyo head,0.9999999403953552;0.7149186730384827;0.852236807346344;0.40250205993652344;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.9999999403953552
21577637,way;bad times;girl;day;nothing;fool;summer;caviar;room;fears,1.0;0.7173156142234802;0.5241172909736633;0.6152379512786865;0.27855047583580017;0.3969009220600128;0.308768630027771;0.16165080666542053;0.3276359736919403;0.24818019568920135
36200559,ella;umbrella;heart;shiny cars;ooh;sun shine;end;baby;magazines;infinity,1.0;0.650824785232544;0.24698978662490845;0.2187972217798233;0.4386630356311798;0.4051293134689331;0.33551082015037537;0.47950151562690735;0.1420983374118805;0.23897872865200043
646303,love;said;dreams;heart;sun;life;night;candle;end;'cause,1.0;0.7345418930053711;0.849456250667572;0.7850704193115234;0.6367676258087158;0.7762157320976257;0.6951410174369812;0.6568036079406738;0.4185587763786316;0.4429439902305603
338364,diamonds;eyes;love tonight;jesus;time;dream;nothing;heart;etc.;precious diamonds,1.0;0.5467195510864258;0.49309033155441284;0.34321117401123047;0.15714994072914124;0.2802462577819824;0.18202249705791473;0.3573639392852783;-0.053775958716869354;0.931465208530426
26679995,heroes;yeah;sky;town;soul;step;taiwan;globe;london;dynamite ready,1.0;0.6330823302268982;0.6285203695297241;0.5606361627578735;0.38165104389190674;0.26920199394226074;0.3837115466594696;0.43164151906967163;0.3608090579509735;0.3158910274505615
18668123,moon;high salinity;centuries;way;sin;deadly hand;deep aldan;black hole;sins;oceans,0.9999999403953552;0.7955337166786194;0.7648403644561768;0.6080663800239563;0.5371820330619812;0.5323482751846313;0.5376265645027161;0.540233314037323;0.6534006595611572;0.5355794429779053
35210420,silence;sun light;war;faces;leaf;home;winds;death;singing;order,1.0;0.7415376901626587;0.8665416240692139;0.27357974648475647;0.2051047533750534;0.2680383324623108;0.29222047328948975;0.7387094497680664;0.21209922432899475;0.2510852515697479
17887636,nothing;long-range roads;full moon;river;plane;poems;north;confluence;night;dream,1.0;0.3486725091934204;0.38382020592689514;0.48809492588043213;0.44578248262405396;0.49170759320259094;0.2902023494243622;0.4077516496181488;0.34518665075302124;0.35094189643859863
17079396,deathless death good god;knife offer;church;sins;lover;something shiny something meaty;sad earthly scene;whole sea;sacrifice;funeral knows everybody,1.0;0.5076143741607666;0.5698366165161133;0.6269418597221375;0.5404101014137268;0.4739517271518707;0.6007648706436157;0.38034459948539734;0.5515013933181763;0.5337439775466919
401609,heart;full moon;shadows;sails;dawn;skull;prisoner;flesh;death;ribs,1.0;0.9503658413887024;0.783055305480957;0.7136808633804321;0.8417736291885376;0.7878742814064026;0.4367530345916748;0.7315248847007751;0.6362103223800659;0.5941368937492371
28947716,love;century;diary;soul;eyes;something;enough life;feeling;empty bottle;deadlock view,0.9999999403953552;0.7458418011665344;0.6134713292121887;0.8639942407608032;0.6079620122909546;0.6338838934898376;0.6985132694244385;0.6649993658065796;0.5526357293128967;0.5555865168571472
1395263,eye;sire;baby rose baby;sun rise ooo;love;blossom;heart;human error;tanecik main milk;sleep sleep,1.0;0.6218047142028809;0.7654291391372681;0.7932983636856079;0.5479852557182312;0.6029822826385498;0.676347553730011;0.4582007825374603;0.4274913966655731;0.4887807071208954
36116585,love;eye reflection;time;other people;drunk evening;clouds;meeting;faces;salvation;pair,1.0;0.42039936780929565;0.4484441876411438;0.3242696523666382;0.5115535855293274;0.3675677180290222;0.2986670136451721;0.32025712728500366;0.2889712154865265;0.21974295377731323
7315060,love;million times;confess;mind;parted;wan;answer;know;dear;despair,1.0;0.5760679841041565;0.7346788048744202;0.6203910708427429;0.5573411583900452;0.5219274163246155;0.6388046145439148;0.7541161179542542;0.518474817276001;0.6497014164924622
609574,love;easy way;tomorrow;long lonely nights;head;phone thinking;heart;smile;times;life,1.0;0.3434711694717407;0.23970471322536469;0.5766202211380005;0.1368345320224762;0.316395103931427;0.29669085144996643;0.33756834268569946;0.16166499257087708;0.2798399329185486
65105480,sundial;gods;love honey;little feet;cure;memories;heart;pretty sight;teeth;town,0.9999999403953552;0.956881582736969;0.780944287776947;0.41276273131370544;0.46414247155189514;0.4186716675758362;0.31904345750808716;0.4827723801136017;0.4526030421257019;0.372188538312912
2774909,ooh baby blue ooh babe;thin ice;eyes;blue ooh babe;silent reproach;momma;baby;crack;babe;modern life,1.0;0.6656675338745117;0.4081675410270691;0.947500467300415;0.4249526858329773;0.4468905031681061;0.6019808650016785;0.3341939449310303;0.6618555784225464;0.27509135007858276
21699187,clashing,1.0
629698,bitterness;friend;things;night;god;life;last choice;cause;talk;innocence lay,1.0;0.8636940121650696;0.7521647214889526;0.7168176174163818;0.7497010231018066;0.8479925394058228;0.651557445526123;0.4549921154975891;0.4945187270641327;0.8236125707626343
46501916,spaceship;eyes;news today;psycho world;fix;slave;version;eden;everything;tumor,0.9999999403953552;0.529448926448822;0.21957151591777802;0.2624068856239319;0.2526233196258545;0.17246097326278687;0.22437311708927155;0.17942222952842712;0.24533946812152863;0.2432023584842682
59070887,love prisoner;night;summer heat expensive car;tonight;kind;life;mistress;psalm;promises;faults,1.0;0.80023193359375;0.6763322949409485;0.7138489484786987;0.6140709519386292;0.6076928973197937;0.7114829421043396;0.5214188098907471;0.5427523255348206;0.4678741991519928
38769465,saturday night;sun;shoes;meet;children,1.0;0.8481767177581787;0.8121556639671326;0.6645693778991699;0.7553315162658691
333423,wedding hypocrite opportunist;drunken punchup;pot;pointless snide remarks;big day;stay frozen;poison;china shop;wedding;nothing,1.0;0.7706212401390076;0.5221501588821411;0.7088301181793213;0.5411279201507568;0.49287939071655273;0.4483286440372467;0.5310992002487183;0.7620264291763306;0.46227261424064636
3504400,warning;characters,0.9999999403953552;0.8996409177780151
21052522,side livin;life;party;livin;same livin;remedy;yesterday;music playing;side;matter,1.0;0.6089630126953125;0.4710027277469635;0.9591333866119385;0.8467682003974915;0.2133207470178604;0.16809885203838348;0.27186769247055054;0.42602065205574036;0.36684778332710266
219989,run run;psycho killer qu'est;que;conversation;nothing;fire;people;run;polite psycho killer;psycho killer,0.9999999403953552;0.6805392503738403;0.3558419644832611;0.2060764580965042;0.16702590882778168;0.10376337915658951;0.0745355412364006;0.9999999403953552;0.5916984677314758;0.637275218963623
66851880,love aha;love aha aston;love;word;heart;lot;aha;soul;anyone,1.0;0.903293251991272;0.8916953206062317;0.38161325454711914;0.43158814311027527;0.31888484954833984;0.5399256348609924;0.4065189063549042;0.2164926826953888
26453444,economy life;sunny bees;world;sanity tax;fairies;money;nation bleeding;skies;monopoly;freaks,1.0;0.9326218962669373;0.8937729597091675;0.8595942854881287;0.7502144575119019;0.652351975440979;0.7715993523597717;0.6588046550750732;0.7270355224609375;0.6668064594268799
30075186,whatcha;course;girl mmmm;man 'cause;mmmm;baby;roof;anything;life 'cause things;ooh,1.0;0.5480040311813354;0.5718587040901184;0.5461119413375854;0.3846897482872009;0.3720369338989258;0.2570253908634186;0.3883240222930908;0.5765657424926758;0.4724707305431366
363980,time music;time,1.0;0.8461017608642578
77450895,learn-learn-learn learn;sun;nothing;feet;heart;day;icy cold;new friends;insomnia;baby,0.9999999403953552;0.692254364490509;0.36853522062301636;0.1929146647453308;0.3311387896537781;0.2684451937675476;0.34433406591415405;0.28441929817199707;0.25482484698295593;0.28715232014656067
56075,baby;friends;freedom;'cause;heart;life;hangin;nothing;man;hey,1.0;0.4859902560710907;0.5291212797164917;0.43036553263664246;0.5903239846229553;0.6741027235984802;0.7179183959960938;0.27542442083358765;0.36631298065185547;0.4512510299682617
45584900,whiskey;pain;brothels;lad;secret vow;barrels;champagne;passport;ride;war,1.0;0.5247986316680908;0.8137397766113281;0.47725632786750793;0.49796155095100403;0.823327362537384;0.8179507255554199;0.3069121241569519;0.3322165012359619;0.21451054513454437
2180621,nightmare;life;eyes;pain;time;bed;everything;dream;ground,1.0;0.7920195460319519;0.5122932195663452;0.5867870450019836;0.7456730604171753;0.6733641028404236;0.4760282337665558;0.7105228304862976;0.4721515476703644
12179,sad thinking;somebody;thrill;faults;woman;nobody;boss;corners;others;hey,1.0;0.9334577322006226;0.7470607161521912;0.619422972202301;0.6180408596992493;0.8468800783157349;0.536891758441925;0.5913377404212952;0.5224259495735168;0.4835575520992279
42169170,skin babe;silent thoughts;eyes;attack babe;perfect sin;honey;heart;while babe;way;veins,1.0;0.8916632533073425;0.6298513412475586;0.8833057284355164;0.6154452562332153;0.48796674609184265;0.501242458820343;0.8418982028961182;0.34223413467407227;0.4940511882305145
25727188,heart;miles;everything;other side;home;times;much healing;time;years;difference,1.0;0.6056008338928223;0.9816181063652039;0.8705347776412964;0.6979828476905823;0.7971339225769043;0.670615553855896;0.6966205835342407;0.6312448382377625;0.3158935010433197
19641303,warriors;town;dust;love;youth;farewell;work;throne;night;scheme,1.0;0.8194892406463623;0.618093729019165;0.375274658203125;0.2986227571964264;0.3950204849243164;0.3128550350666046;0.3856152892112732;0.31491875648498535;0.24827754497528076
28023605,heroes;though nothing;heads;dolphins;day;queen;wall;nothing;guns;shame,1.0;0.5262927412986755;0.37758275866508484;0.43239519000053406;0.6180765628814697;0.2616448700428009;0.41148605942726135;0.6726123094558716;0.32340264320373535;0.26907166838645935
39850059,thoughts;body count;hands;prayers;sound ashes;reaper fear;accomplice money;nobody;history repeat;suit,1.0;0.9453250169754028;0.8756935000419617;0.920122504234314;0.4762425720691681;0.43755972385406494;0.49921005964279175;0.17682130634784698;0.2524876892566681;0.2625643014907837
351717,goodbye;bridge;everybody;eyes;fountains;light;same thing;hands;sky;home,1.0;0.7911494970321655;0.5960777997970581;0.7153012156486511;0.46333563327789307;0.4048447608947754;0.5383506417274475;0.4947110116481781;0.5513875484466553;0.16755501925945282
7878689,everything;lifeless telephone;streets;bar fights;ghosts;neon lights;blank-faced stares;something;home;nothing,1.0;0.8404136300086975;0.6354095339775085;0.5973626375198364;0.6107727885246277;0.6716551780700684;0.785246729850769;0.8563638925552368;0.4290175437927246;0.9327901005744934
41242810,sex money feelings;night;baby;ladies;love;right sex money feelings;sex money;sunlight;words;weeknight,0.9999999403953552;0.369538813829422;0.32920780777931213;0.18524029850959778;0.40521812438964844;0.9581610560417175;0.8378783464431763;0.15409128367900848;0.18333330750465393;0.16598200798034668
54254234,something;person;secret;love;stories;bed;fucking thing;anything;sequel;truth,1.0;0.48733747005462646;0.4059455394744873;0.36391404271125793;0.31905147433280945;0.12215287238359451;0.5464110374450684;0.6989896297454834;0.29059934616088867;0.4341597557067871
655976,christmas;girl;eyes comin;meaning;angel;life;star;sleigh ride caroling;holidays;anything,1.0;0.735975444316864;0.7743205428123474;0.5412587523460388;0.5371513962745667;0.5116261839866638;0.5143945217132568;0.6768069267272949;0.5757459998130798;0.3118344843387604
474914,anything;blame 'cause;insignificance;monster;assistance;living;things;distance;brain,1.0;0.46668487787246704;0.6075496673583984;0.4415481686592102;0.371280312538147;0.17963741719722748;0.5986288189888;0.2767917215824127;0.33946743607521057
29044560,heroine;skin;words;skirt;borders;hero;love;while;weapons;lubrication,1.0;0.33596348762512207;0.19290217757225037;0.23413684964179993;0.17686495184898376;0.755886435508728;0.31178733706474304;0.020801901817321777;0.15681880712509155;0.1778399497270584
32307660,nothing matters;darkness;end;yesterday;free things;life;hell;goodbye;one;agony,1.0;0.7255011200904846;0.6201732754707336;0.5925449132919312;0.6849476099014282;0.45574939250946045;0.6699038743972778;0.6057786345481873;0.40003934502601624;0.6498218774795532
333421,myxomatosis;smart ass;cupboard;burning black hole;friends;time magazine;breakfast;mongrel cat;twitching;devon,1.0;0.6976234316825867;0.7385615706443787;0.7549969553947449;0.5782275795936584;0.4901428818702698;0.5961986780166626;0.8628174066543579;0.6388677358627319;0.41898801922798157
2217929,everything;lips;wind;face;alleys;eyes;cup;apartment silence;one;hand,1.0;0.8525451421737671;0.5722423791885376;0.7668246030807495;0.2008431851863861;0.9440956115722656;0.16661661863327026;0.35978567600250244;0.18262898921966553;0.4035261571407318
